geneid	Chr	Start	End	Strand	Length	gene	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12
slr0612	CHR	811	1494	+	684	NA	587	705	591	491	94	208	221	244	3	3	5	0
slr0613	CHR	1577	2098	+	522	NA	2082	2900	2790	2056	251	585	664	655	3	3	10	0
sll0558	CHR	2172	2873	-	702	NA	2163	2923	3269	2880	272	738	908	603	6	9	12	5
sll1214	CHR	3192	4268	-	1077	acsF	17056	17716	33084	32404	2397	10782	10282	7268	97	107	179	53
sll1213	CHR	4451	5389	-	939	NA	4367	4975	5879	4906	307	1160	1174	792	20	15	30	12
sll1212	CHR	5534	6622	-	1089	gmd	5676	6628	6871	6097	589	1696	1665	1298	24	32	30	15
slr1311	CHR	7229	8311	+	1083	psbA	546817	448849	263259	273388	82695	524857	713436	464928	2891	2761	18421	5365
slr1312	CHR	8492	10471	+	1980	speA	3266	3962	5555	4568	514	1441	2165	1847	16	7	25	9
sll1209	CHR	10622	12631	-	2010	ligA	819	904	1133	1027	309	675	517	788	5	8	3	2
slr1315	CHR	12782	13363	+	582	NA	309	409	500	415	116	283	233	313	3	4	14	4
slr1316	CHR	13498	14529	+	1032	NA	294	445	470	379	162	303	126	330	0	6	5	1
slr1317	CHR	14626	15675	+	1050	NA	335	383	350	321	132	236	118	254	0	3	2	1
slr1318	CHR	15937	16743	+	807	NA	488	486	568	535	131	392	126	273	2	0	2	0
slr1319	CHR	16740	17687	+	948	NA	405	485	504	461	145	311	195	335	1	2	1	2
sll1206	CHR	17853	20408	-	2556	NA	388	500	577	494	346	573	221	646	1	3	4	4
sll1205	CHR	20615	21595	-	981	NA	477	591	589	582	170	409	233	372	0	4	3	1
sll1204	CHR	21838	23121	-	1284	NA	78	126	83	42	133	401	114	308	0	0	0	0
sll1203	CHR	23139	24104	-	966	NA	53	60	60	58	96	305	77	212	0	0	1	0
sll1202	CHR	24101	25003	-	903	NA	33	53	32	28	56	220	62	98	0	0	0	0
sll1409	CHR	25266	27839	-	2574	NA	144	180	159	120	443	1064	366	778	2	3	3	0
sll1408	CHR	27990	29030	-	1041	NA	101	137	106	83	61	330	158	180	1	1	2	0
sll1407	CHR	29098	29895	-	798	NA	60	73	69	50	99	391	82	181	0	0	0	0
sll1406	CHR	29968	32454	-	2487	NA	416	422	389	301	324	691	381	695	4	5	9	1
sll1405	CHR	32524	32928	-	405	NA	69	56	69	52	54	73	55	76	0	0	1	1
sll1404	CHR	32912	33544	-	633	NA	166	209	220	232	58	158	61	114	1	2	0	0
slr1484	CHR	33891	35489	+	1599	NA	484	486	710	619	343	562	233	655	2	3	4	2
slr1485	CHR	35566	36615	+	1050	NA	562	978	729	411	227	423	158	419	1	0	4	0
slr1488	CHR	36757	38538	+	1782	NA	280	404	368	300	310	561	152	620	2	0	3	2
slr1489	CHR	38680	39636	+	957	NA	159	150	177	134	186	404	160	417	0	2	1	0
slr1490	CHR	39817	42363	+	2547	NA	383	441	387	305	393	820	352	838	2	4	4	3
slr1491	CHR	42567	43397	+	831	NA	187	158	167	132	198	372	204	390	1	2	3	1
slr1492	CHR	43511	44506	+	996	NA	98	88	128	114	123	249	115	269	0	1	1	0
slr1493	CHR	44511	44885	+	375	NA	92	89	103	106	41	120	78	94	0	0	0	0
